source,posx,posy,shift,andNum,rem,subSample
sky,0,0,252,15,12,4
planet,0,0,248,15,16,5
planet-line,0,0,0,15,1,1
moon,0,0,244,15,8,1
celestial,0,0,240,15,7,1
Tree,0,0,0,15,1,1
Owl Species,0,0,236,15,4,1
cabin,0,0,232,15,12,1
yuke,0,0,228,15,5,1
gear,0,0,0,15,1,1
eject,0,0,0,15,1,1
sit,0,0,224,15,8,1
